date,open,high,low,close,volume
2016-09-20,61.07,61.235,60.56,60.8,975688
2016-09-21,60.74,61.61,60.6816,61.52,1228348
2016-09-22,61.6,61.94,61.055,61.59,1334274
2016-09-23,61.27,61.71,60.51,60.52,1686443
2016-09-26,60.45,60.47,59.595,60.01,1899546
2016-09-27,59.95,60.48,59.78,60.42,1687301
2016-09-28,60.49,61.0,58.91,59.13,1634739
2016-09-29,57.99,58.0,56.5,56.57,4357213
2016-09-30,57.63,57.7,56.12,56.72,3048065
2016-10-03,56.85,57.09,55.85,55.93,1948243
2016-10-04,56.34,56.615,55.64,56.02,1432051
2016-10-05,56.36,57.15,56.27,56.71,1544403
2016-10-06,56.63,58.19,55.76,58.12,2429628
2016-10-07,58.16,58.41,57.44,57.71,1642504
2016-10-10,58.09,58.63,57.075,57.63,1334999
2016-10-11,57.01,57.49,56.74,57.06,1055806
2016-10-12,57.3,57.36,56.83,56.84,868079
2016-10-13,56.6,56.76,55.36,55.92,1334597
2016-10-14,56.31,56.9,56.1,56.46,1334486
2016-10-17,56.35,56.557,55.69,55.72,820284
2016-10-18,55.97,56.18,55.55,55.8,808149
2016-10-19,56.0,57.17,55.68,57.07,917244
2016-10-20,57.27,57.28,56.63,56.71,811494
2016-10-21,56.39,56.89,56.23,56.78,1221159
2016-10-24,58.35,58.35,57.56,57.81,1295349
2016-10-25,56.3,57.29,55.04,55.07,2532591
2016-10-26,55.02,55.6211,54.69,55.24,1591052
2016-10-27,55.18,55.265,54.35,54.76,1315983
2016-10-28,54.55,56.07,54.5101,55.41,2262764
2016-10-31,55.67,55.835,55.18,55.65,1448149
2016-11-01,55.12,55.485,54.625,54.67,1946302
2016-11-02,54.71,57.0,54.71,56.42,2577462
2016-11-03,56.76,57.17,56.19,56.31,1773905
2016-11-04,56.68,57.34,55.76,56.72,1704289
2016-11-07,57.72,58.38,57.505,58.31,2030182
2016-11-08,58.14,58.235,57.28,57.8,1466425
2016-11-09,56.99,58.8825,56.72,58.51,2003645
2016-11-10,59.24,60.56,58.56,59.3,2394879
2016-11-11,59.4,59.91,58.18,59.44,1898892
2016-11-14,61.04,62.88,60.0,60.89,6155066
